comment_id,comment,language,date,location
344,I'm frustrated with unresponsive staff at the baguio. Please fix!,English,8/14/24,Region III
345,Lgu services in iloilo city have improved significantly this year.,English,2/2/24,Region III
346,Salamat po sa health services! Sobrang laking tulong 👍,Taglish,10/17/23,NCR
347,I'm frustrated with unresponsive staff at the bacolod. Please fix!,English,10/21/24,NCR
348,I'm frustrated with unresponsive staff at the maynila. Please fix!,English,6/2/24,Region VII
349,Great job on the business support! Our community appreciates the effort.,English,5/23/23,Region VII
350,Lgu services in davao city have improved significantly this year.,English,10/19/23,NCR
351,Thank you lgu for the business support! Our barangay is safer now,English,12/22/23,Region III
352,The new health center in cebu city has made a huge difference!,English,6/29/24,Region VII
353,The water supply staff were very helpful during my visit to bacolod.,English,7/17/23,Region IV-A
354,Public public market in cebu city is severely lacking. inconsistent schedules,English,2/9/24,Region XI
355,Mas maganda na ang disaster response ngayon sa cagayan de oro. Salamat lgu!,Taglish,11/28/24,NCR
356,Great job on the disaster preparedness! Our community appreciates the effort.,English,9/30/23,Region IV-A
357,The waste management staff were very helpful during my visit to baguio.,English,9/29/23,Region III
358,I'm frustrated with delayed response at the angeles city. Please fix!,English,8/9/24,NCR
359,Why is disaster response always delayed in angeles city? This is unacceptable.,English,1/29/24,Region IV-A
360,Ang hirap po ng road maintenance dito sa cagayan de oro 😭 poor communication,Taglish,10/28/24,Region XI
361,Why is barangay hall services always delayed in cagayan de oro? This is unacceptable.,English,10/5/23,Region VII
362,The new evacuation center in cebu city has made a huge difference!,English,1/20/23,Region III
363,Lgu services in iloilo city have improved significantly this year.,English,4/22/23,Region IV-A
364,Lgu services in angeles city have improved significantly this year.,English,9/13/23,Region XI
365,I'm frustrated with lack of resources at the zamboanga. Please fix!,English,5/30/24,Region IV-A
366,Thank you lgu for the road repairs! Our barangay is safer now,English,5/23/24,Region IV-A
367,I reported unresponsive staff weeks ago but no action taken. Disappointed.,English,11/2/23,Region VII
368,The disaster response in cagayan de oro needs improvement. poor communication,English,7/25/23,Region XI
369,The health center in naga city needs improvement. inconsistent schedules,English,10/3/24,Region IV-A
370,Sana all may health services! Pero kulang pa rin 😔,Taglish,9/6/23,Region IV-A
371,Salamat po sa road repairs! Sobrang laking tulong 👍,Taglish,12/13/23,Region VII
372,Thank you lgu for the ayuda distribution! Our barangay is safer now,English,3/15/23,Region IV-A
373,Jeepney shortage every weekends. Fix po sa transport system!,Taglish,2/10/23,Region VII
374,I reported broken infrastructure weeks ago but no action taken. Disappointed.,English,4/4/23,Region XI
375,The health center staff were very helpful during my visit to iloilo city.,English,10/26/23,Region III
376,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,5/6/24,NCR
377,"Bahala na attitude ng iba, pero salamat sa disaster preparedness!",Taglish,6/19/24,Region VII
378,The public market staff were very helpful during my visit to cagayan de oro.,English,4/18/23,NCR
379,Lgu services in zamboanga have improved significantly this year.,English,11/11/23,Region XI
380,Great job on the disaster preparedness! Our community appreciates the effort.,English,10/13/23,Region III
381,Thank you lgu for the disaster preparedness! Small businesses can thrive,English,11/3/24,Region IV-A
382,I reported long queues weeks ago but no action taken. Disappointed.,English,7/17/24,Region III
383,Public health center in baguio is severely lacking. broken infrastructure,English,11/24/23,Region IV-A
384,The road maintenance in naga city needs improvement. unresponsive staff,English,7/24/23,Region XI
385,The health center staff were very helpful during my visit to zamboanga.,English,10/16/24,Region IV-A
386,The transport system in zamboanga needs improvement. long queues,English,5/19/24,Region XI
387,I'm frustrated with delayed response at the davao city. Please fix!,English,11/2/23,Region III
388,Ang hirap po ng waste management dito sa cagayan de oro 😭 poor communication,Taglish,3/23/23,NCR
389,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,12/20/24,Region VII
390,Why is business permit processing always delayed in davao city? This is unacceptable.,English,7/2/24,NCR
391,The disaster response staff were very helpful during my visit to davao city.,English,9/17/24,Region III
392,Bakit po ang tagal ng road maintenance sa naga city? Nakakainis na!,Taglish,4/22/24,Region IV-A
393,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,1/27/23,NCR
394,Public evacuation center in cagayan de oro is severely lacking. inconsistent schedules,English,12/6/24,NCR
395,I reported unresponsive staff weeks ago but no action taken. Disappointed.,English,12/11/23,Region III
396,Mas maganda na ang road maintenance ngayon sa iloilo city. Salamat lgu!,Taglish,6/14/24,NCR
397,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,2/9/24,NCR
398,Gutom ang mga bata sa barangay namin. Tulong po sa unresponsive staff!,Taglish,12/16/23,Region XI
399,Lgu services in naga city have improved significantly this year.,English,5/29/23,Region III
400,Great job on the community programs! Our community appreciates the effort.,English,7/12/23,Region III
401,Thank you lgu for the road repairs! This helps our family survive,English,9/1/24,Region III
402,Nakakalungkot po ang condition ng health center sa cebu city,Taglish,8/4/24,Region VII
403,Gutom ang mga bata sa barangay namin. Tulong po sa delayed response!,Taglish,11/9/24,Region III
404,"Bahala na attitude ng iba, pero salamat sa business support!",Taglish,11/19/23,Region III
405,Great job on the ayuda distribution! Our community appreciates the effort.,English,8/7/23,Region VII
406,Ang hirap po ng road maintenance dito sa bacolod 😭 long queues,Taglish,6/21/24,Region XI
407,Thank you lgu for the disaster preparedness! Children have better access to services,English,6/23/24,NCR
408,Mas maganda na ang health center ngayon sa zamboanga. Salamat lgu!,Taglish,9/8/23,Region VII
409,Lgu services in iloilo city have improved significantly this year.,English,3/15/23,Region VII
410,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,2/18/24,Region XI
411,Public evacuation center in maynila is severely lacking. delayed response,English,11/5/23,Region XI
412,Great job on the business support! Our community appreciates the effort.,English,6/18/24,Region XI
413,I'm frustrated with inconsistent schedules at the baguio. Please fix!,English,2/14/24,NCR
414,Jeepney shortage every rush hour. Fix po sa transport system!,Taglish,9/27/23,NCR
415,I reported lack of resources weeks ago but no action taken. Disappointed.,English,6/26/24,NCR
416,Why is evacuation center always delayed in baguio? This is unacceptable.,English,8/3/24,Region IV-A
417,Jeepney shortage every weekends. Fix po sa transport system!,Taglish,4/23/24,Region IV-A
418,Public public market in cagayan de oro is severely lacking. long queues,English,8/9/23,Region XI
419,Public health center in cagayan de oro is severely lacking. broken infrastructure,English,2/5/24,Region IV-A
420,The public market staff were very helpful during my visit to angeles city.,English,2/16/23,Region IV-A
421,The disaster response in baguio needs improvement. inconsistent schedules,English,7/19/24,Region III
422,"Bahala na attitude ng iba, pero salamat sa community programs!",Taglish,8/28/24,NCR
423,Thank you lgu for the ayuda distribution! This helps our family survive,English,4/17/23,Region III
424,"Bahala na attitude ng iba, pero salamat sa road repairs!",Taglish,3/23/24,Region VII
425,I reported long queues weeks ago but no action taken. Disappointed.,English,3/5/23,NCR
426,Lgu services in iloilo city have improved significantly this year.,English,2/17/24,Region IV-A
427,Jeepney shortage every rush hour. Fix po sa transport system!,Taglish,7/31/23,Region III
428,Public waste management in baguio is severely lacking. long queues,English,12/6/23,NCR
429,"Bahala na attitude ng iba, pero salamat sa road repairs!",Taglish,9/17/24,Region III
430,The water supply staff were very helpful during my visit to naga city.,English,3/21/23,NCR
431,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,10/9/23,Region VII
432,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,9/13/24,NCR
433,Great job on the health services! Our community appreciates the effort.,English,5/8/23,Region IV-A
434,I'm frustrated with unresponsive staff at the iloilo city. Please fix!,English,8/2/24,Region IV-A
435,The new barangay hall in cebu city has made a huge difference!,English,3/3/23,Region III
436,Thank you lgu for the business support! Our barangay is safer now,English,5/31/23,Region VII
437,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,2/16/23,NCR
438,Nakakalungkot po ang condition ng barangay hall sa baguio,Taglish,8/2/24,NCR
439,Lgu services in cagayan de oro have improved significantly this year.,English,2/17/23,Region VII
440,The health center in maynila needs improvement. long queues,English,12/10/24,Region III
441,Why is barangay hall services always delayed in baguio? This is unacceptable.,English,11/29/23,Region XI
442,Great job on the business support! Our community appreciates the effort.,English,7/30/24,Region IV-A
443,The new barangay hall in naga city has made a huge difference!,English,4/23/23,Region VII
444,Public barangay hall services in maynila is severely lacking. inconsistent schedules,English,2/5/24,Region XI
445,Ang hirap po ng evacuation center dito sa davao city 😭 broken infrastructure,Taglish,2/22/24,Region IV-A
446,I reported poor communication weeks ago but no action taken. Disappointed.,English,11/18/24,Region III
447,Great job on the disaster preparedness! Our community appreciates the effort.,English,7/21/23,Region III
448,Why is barangay hall services always delayed in baguio? This is unacceptable.,English,3/15/24,Region III
449,Great job on the community programs! Our community appreciates the effort.,English,5/9/23,Region VII
450,The public market staff were very helpful during my visit to zamboanga.,English,1/27/24,Region IV-A
451,Lgu services in iloilo city have improved significantly this year.,English,9/1/24,NCR
452,I'm frustrated with long queues at the bacolod. Please fix!,English,7/28/24,Region XI
453,Jeepney shortage every holiday season. Fix po sa transport system!,Taglish,2/17/24,NCR
454,I reported long queues weeks ago but no action taken. Disappointed.,English,11/20/23,Region III
455,The new public market in maynila has made a huge difference!,English,1/25/23,Region XI
456,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,5/5/23,Region III
457,Public evacuation center in baguio is severely lacking. broken infrastructure,English,4/11/24,Region VII
458,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,10/24/23,Region IV-A
459,Great job on the road repairs! Our community appreciates the effort.,English,3/28/24,Region VII
460,Why is evacuation center always delayed in cagayan de oro? This is unacceptable.,English,12/12/23,NCR
461,The evacuation center staff were very helpful during my visit to maynila.,English,4/18/23,Region XI
462,Thank you lgu for the community programs! Children have better access to services,English,7/11/24,Region XI
463,"Bahala na attitude ng iba, pero salamat sa ayuda distribution!",Taglish,1/20/24,Region III
464,Nakakalungkot po ang condition ng evacuation center sa bacolod,Taglish,8/16/24,Region XI
465,Great job on the road repairs! Our community appreciates the effort.,English,7/16/23,NCR
466,Great job on the business support! Our community appreciates the effort.,English,11/2/23,Region XI
467,Lgu services in bacolod have improved significantly this year.,English,1/13/23,Region IV-A
468,Lgu services in naga city have improved significantly this year.,English,4/18/24,Region IV-A
469,Thank you lgu for the health services! Our barangay is safer now,English,3/21/23,NCR
470,Why is road maintenance always delayed in angeles city? This is unacceptable.,English,9/21/24,Region XI
471,The new road in cebu city has made a huge difference!,English,1/25/23,Region III
472,The evacuation center in davao city needs improvement. inconsistent schedules,English,2/11/23,Region IV-A
473,The transport system in zamboanga needs improvement. inconsistent schedules,English,1/25/24,Region III
474,Great job on the business support! Our community appreciates the effort.,English,8/14/24,NCR
475,Gutom ang mga bata sa barangay namin. Tulong po sa poor communication!,Taglish,9/7/24,Region VII
476,The new barangay hall in bacolod has made a huge difference!,English,6/30/23,Region III
477,Great job on the road repairs! Our community appreciates the effort.,English,1/7/23,Region III
478,The new evacuation center in naga city has made a huge difference!,English,10/16/24,Region XI
479,Lgu services in angeles city have improved significantly this year.,English,11/14/23,NCR
480,I'm frustrated with delayed response at the cebu city. Please fix!,English,4/9/23,Region III
481,I'm frustrated with long queues at the baguio. Please fix!,English,8/30/24,Region XI
482,The new evacuation center in baguio has made a huge difference!,English,9/14/23,Region III
483,Bakit po ang tagal ng transport system sa baguio? Nakakainis na!,Taglish,8/5/24,Region XI
484,The waste management staff were very helpful during my visit to cagayan de oro.,English,1/27/24,Region III
485,Lgu services in cagayan de oro have improved significantly this year.,English,1/11/23,Region IV-A
486,I'm frustrated with poor communication at the cebu city. Please fix!,English,8/17/23,NCR
487,Thank you lgu for the road repairs! Children have better access to services,English,10/3/23,Region IV-A
488,Lgu services in davao city have improved significantly this year.,English,1/14/24,NCR
489,Lgu services in naga city have improved significantly this year.,English,5/29/23,Region III
490,Why is transport system always delayed in angeles city? This is unacceptable.,English,8/13/24,NCR
491,Lgu services in naga city have improved significantly this year.,English,5/13/24,Region III
492,Public waste management in cebu city is severely lacking. inconsistent schedules,English,10/28/23,NCR
493,The barangay hall services in maynila needs improvement. poor communication,English,10/5/24,Region XI
494,Thank you lgu for the ayuda distribution! Small businesses can thrive,English,10/22/23,NCR
495,The water supply staff were very helpful during my visit to cebu city.,English,6/5/24,Region III
496,I'm frustrated with unresponsive staff at the maynila. Please fix!,English,3/27/24,Region III
497,The barangay hall services in zamboanga needs improvement. inconsistent schedules,English,9/20/23,Region III
498,Thank you lgu for the health services! This helps our family survive,English,1/30/24,NCR
499,Lgu services in bacolod have improved significantly this year.,English,5/26/24,Region IV-A
500,The health center in bacolod needs improvement. broken infrastructure,English,11/25/24,Region XI
